Product Name,Brand,Operating System,Price,Discount,Review,Ratings,Description
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",OnePlus,OxygenOS,"42,999.00",-0.07,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",OnePlus,OxygenOS,"42,999.00",-0.07,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"Redmi Note 13 5G (Chromatic Purple, 6GB RAM, 128GB Storage)",Redmi,Android,"14,660.00",-0.30,3.7,"5,287","Brand   Redmi     Operating System   Android 13, MIUI 14     RAM Memory Installed Size   6 GB     CPU Model   Cortex     CPU Speed   2 GHz"
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",Redmi,Android,"13,499.00",-0.25,3.9,"1,645","Brand   Redmi     Operating System   Android 14, Xiaomi HyperOS     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.3 GHz"
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"17,998.00",-0.33,4.2,"14,943",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",realme,Android,"8,498.00",-0.23,4.1,479,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   128 GB
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",OnePlus,OxygenOS,"25,499.00",-0.06,4.2,"5,211",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"Redmi 13C (Starfrost White, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",Xiaomi,MIUI,"8,499.00",-0.39,4.1,"8,356","Brand   Xiaomi     Operating System   MIUI 14, Android 13.0     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB"
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)",OnePlus,OxygenOS,"25,499.00",-0.06,4.2,"5,211",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"realme NARZO 70x 5G (Forest Green, 8GB RAM,128GB Storage) | 120Hz Ultra Smooth Display | Dimensity 6100+ 6nm 5G | 50MP AI Camera | 45W Charger in The Box",realme,Android,"13,498.00",-0.29,4,"2,419",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",Samsung,Android,"11,999.00",-0.29,4.1,73,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Speed   2.2 GHz     Memory Storage Capacity   128 GB
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)",OnePlus,OxygenOS,"23,499.00",-0.06,4.2,"5,211",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
